PROJ_NUM,PO,SD_NUM,SD_NAME,FACILITY,CLEAN_FACILITY_NAME,FACILITY_KEY,MINCODE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,FACILITY_TYPE,DESCRIPTION,PROGRAM,PROJECT_CODE,STATUS,YEAR_COMPLETED,PROV_TOTAL,SD_ACTUAL,_3RD_PARTY_ACTUAL,TOTAL_ACTUAL
127347,DC,05,Southeast Kootenay,Elkford Secondary,ELKFORD SECONDARY,ELKFORD,00505033,50.00683982,-114.9306477,Secondary,Energy Savings,CNCP,ENERGY,6 Complete,2017/2018,199089,0,0,199089.0
127132-04,RC,05,Southeast Kootenay,Parkland Middle,PARKLAND MIDDLE,PARKLAND,00505018,49.49647204,-115.7797287,Middle,Replace the existing and aging DDC system. The new system will include demand control ventilation.,CNCP,MECHUP,6 Complete,2016/2017,160000,0,0,160000.0
127581-1,DC,05,Southeast Kootenay,Elkford Secondary,ELKFORD SECONDARY,ELKFORD,00505033,50.00683982,-114.9306477,Secondary,Dust Collection upgrade - Worksafe.,SEP,MECHUP,6 Complete,2018/2019,329700,,,329700.0
126928,RC,05,Southeast Kootenay,Mt Baker Secondary,MT BAKER SECONDARY,MT BAKER,00502001,49.51267668,-115.7608426,Secondary,Mechup,SEP,MECHUP,6 Complete,2015/2016,368000,0,0,368000.0
126991,RC,05,Southeast Kootenay,Pinewood/Amy Woodland/Steeples,PINEWOOD/AMY WOODLAND/STEEPLES,PINEWOOD/AMY WOODLAND/STEEPLES, ,,,N/A,Mechup,SEP,MECHUP,6 Complete,2015/2016,143800,0,0,143800.0
127132-06,RC,05,Southeast Kootenay,Jaffray Elementary Junior Secondary,JAFFRAY ELEMENTARY JUNIOR SECONDARY,JAFFRAY,00501007,49.37241741,-115.3007698,Elem-Sec,Replace HVAC system,SEP,MECHUP,6 Complete,2016/2017,556785,0,0,556785.0
127132-05,RC,05,Southeast Kootenay,Mt Baker Secondary,MT BAKER SECONDARY,MT BAKER,00502001,49.51267668,-115.7608426,Secondary,Replace HVAC system,SEP,MECHUP,6 Complete,2016/2017,270117,0,0,270117.0
126927,RC,05,Southeast Kootenay,Laurie Middle,LAURIE MIDDLE,LAURIE,00502011,49.50894361,-115.75566,Middle,Roof Repair,SEP,ROOFREP,6 Complete,2015/2016,434900,0,0,434900.0
127346,DC,05,Southeast Kootenay,Mount Baker Secondary,MOUNT BAKER SECONDARY,MOUNT BAKER,00502001,49.51267668,-115.7608426,Secondary,Roof Replacement,SEP,ROOFREP,6 Complete,2017/2018,467060,0,0,467060.0
127581-3,DC,05,Southeast Kootenay,Amy Woodland Elementary,AMY WOODLAND ELEMENTARY,AMY WOODLAND,00502023,49.5025578,-115.7677916,Elementary,Roof Replacement Plan.,SEP,ROOFREP,6 Complete,2018/2019,172058,,,172058.0
127581-2,DC,05,Southeast Kootenay,Rocky Mountain Elementary,ROCKY MOUNTAIN ELEMENTARY,ROCKY MOUNTAIN,00501017,50.00768512,-114.9334624,Elementary,Upgrade Mechanical System.,SEP,MECHUP,6 Complete,2018/2019,332000,,,332000.0
127052,RC,05,Southeast Kootenay,Laurie Middle,LAURIE MIDDLE,LAURIE,00502011,49.50894361,-115.75566,Middle,Fire Loss ,SPP,RENO,6 Complete,2016/2017,603834.77,0,0,603834.8
126799,RC,05,Southeast Kootenay,Rocky Mountain Elementary,ROCKY MOUNTAIN ELEMENTARY,ROCKY MOUNTAIN,00501017,50.00768512,-114.9334624,Elementary,SPP - Fire Restoration,SPP,RENO,6 Complete,2016/2017,3829932,0,0,3829932.0
