MINCODE,AVG_SIZE_5YR
05959001,222.8571429
06868015,856.7142857
02009011,402
04343022,165
02222014,418.1428571
04444005,350.7142857
00618005,317
03636051,405.2857143
03333010,279.8571429
06161067,224.7142857
03796132,111.1428571
03939094,387.5714286
06896650,55.42857143
07272031,138.1428571
02323080,870.4
03636106,1235
08288028,61.42857143
03996823,22
03996844,13.5
09339118,51.5
08389009,82.85714286
05113010,129.5714286
05396534,20.75
02222025,705.2857143
07171054,964
04444037,380.1428571
03434061,474.5714286
03434021,188.1428571
06868002,641.1428571
07599133,211.1428571
04343006,177.1428571
04343049,278.8571429
00604011,100.5714286
08389029,165.2857143
03333028,271.2857143
04343055,398.8571429
05050011,143.5714286
06161021,598.4285714
02727057,332.8571429
05757116,162.1428571
08181013,311.1428571
07324054,329.5714286
09347021,16.57142857
00603007,166.5714286
07397035,37.57142857
09292007,229.3333333
05959005,446.4285714
07070006,334.4285714
03939084,488.4285714
03636045,1414.571429
03996147,225.7142857
03838026,303.5714286
04343070,197.2857143
03699064,168.2857143
02396676,91.28571429
00886016,174.1428571
03896729,117.4285714
04141002,1801.428571
03939044,299.8571429
03636183,286.5714286
07324040,299.8571429
09347006,112.1428571
05113007,29.57142857
03696863,16.57142857
05199169,28.71428571
05314008,222.1428571
04444003,506.8571429
05050012,137.4285714
03636053,514.7142857
03939022,1578.285714
03636067,454.1428571
03636080,337.5714286
03939127,206.8571429
06899308,367
03939099,396.2857143
03636162,331.1428571
04296153,239.1428571
09368001,49.57142857
08383037,609.5714286
04545020,310.5714286
00807025,299
00897558,64.71428571
07272085,9.857142857
02828021,202.8571429
07324014,477.2857143
00899291,39.8
03996390,11.28571429
03636043,533.5714286
06161027,215.7142857
04141007,633.2857143
05999102,13.42857143
02727000,47
06715011,275.8571429
02323032,486.8571429
05999212,22.42857143
07979043,139.8333333
03796535,41.28571429
08296731,39.42857143
00502024,364.4285714
07324004,280.1428571
03434037,255
06262033,648.1428571
03535032,459.1428571
03599202,33.85714286
03939077,427.8571429
03636082,540.5714286
09156002,298.4285714
06799182,17.42857143
06777004,359
09155017,205.2857143
03996019,479.2857143
07171052,271.4285714
00896143,126.1428571
00505018,447.4285714
03737022,444.5714286
03434025,610.2857143
08599213,8
06799205,13
00618006,5.75
05959032,16.71428571
07272078,245.1428571
07324063,294.7142857
03535039,246.5714286
03699142,1121.571429
06396767,903.4285714
06196341,349
04141026,247.8571429
03496595,393.2857143
04444029,537.4285714
06161048,694.1428571
07326012,285.1428571
06777002,430.5714286
00899293,5.25
03939048,337.1428571
03696266,979.1428571
