SCHOOL_YEAR,DISTRICT_NUMBER,SCHOOL_NAME,MINCODE,SES_INDEX
2015/2016,05,T M Roberts Elementary,00502024,-0.782054354
2015/2016,05,Amy Woodland Elementary,00502023,-0.925721896
2015/2016,05,Sparwood Secondary,00505035,-0.652728552
2015/2016,05,Rocky Mountain Elementary,00501017,-1.311225848
2015/2016,05,Pinewood Elementary,00502030,-0.906929084
2015/2016,05,Parkland Middle School,00505018,-0.607063816
2015/2016,05,Mount Baker Secondary,00502001,-0.555447476
2015/2016,05,Laurie Middle School,00502011,-0.59370177
2015/2016,05,Kootenay Orchards Elementary,00502032,-0.362180942
2015/2016,05,Kootenay Educational Services,00599078,-0.878676993
2015/2016,05,Kootenay Discovery School,00599156,-0.706585892
2015/2016,05,Jaffray Elem-Jr Secondary,00501007,-0.895590415
2015/2016,05,Isabella Dicken Elementary,00501009,-0.349810151
2015/2016,05,Highlands Elementary,00502029,-0.20492733
2015/2016,05,Gordon Terrace Elementary,00502028,-0.513659838
2015/2016,05,Frank J Mitchell Elementary,00501010,-0.668184776
2015/2016,05,Fernie Secondary,00505034,-0.414585416
2015/2016,05,Elkford Elementary Secondary,00505033,-1.304980409
2015/2016,05,Steeples Elementary,00502031,-0.835945799
2015/2016,06,Selkirk Secondary School,00603008,-0.59723436
2015/2016,06,Rocky Mountain Distributed Learning,00699157,-0.754257974
2015/2016,06,Open Doors Alternate Education,00699127,-0.720691828
2015/2016,06,Nicholson Elementary,00618007,-0.922057084
2015/2016,06,McKim Middle School,00606017,-0.61142811
2015/2016,06,Marysville Elementary,00603005,-0.621375025
2015/2016,06,Martin Morigeau Elementary,00604013,-1.263048075
2015/2016,06,Lindsay Park Elementary,00603007,-0.537977385
2015/2016,06,Lady Grey Elementary,00618003,-0.812150981
2015/2016,06,Kimberley Alternate School,00699086,-0.585441667
2015/2016,06,J Alfred Laird Elementary,00604012,-0.51300219
2015/2016,06,Golden Secondary,00618005,-0.858871522
2015/2016,06,Golden Alternate School,00699069,-0.936502182
2015/2016,06,Field Elementary,00618006,-0.191214178
2015/2016,06,Eileen Madson Primary School,00604014,-0.526544184
2015/2016,06,Edgewater Elementary,00604011,-0.955299048
2015/2016,06,David Thompson Secondary,00604015,-0.626618074
2015/2016,06,Continuing Ed SD 06,00606000,-1.273632695
2015/2016,06,Windermere Elementary,00604007,-0.462681742
2015/2016,06,Alexander Park Elementary,00618008,-0.854976971
2015/2016,08,Blewett Elementary School,00807016,-0.084703322
2015/2016,08,Brent Kennedy Elementary,00807033,-0.622636022
2015/2016,08,Canyon/Lister Elementary,00886014,-1.600415232
2015/2016,08,Crawford Bay Elem-Secondary,00886006,-0.845420799
2015/2016,08,Distance Ed School of the Kootenays,00898001,-0.470748765
2015/2016,08,Erickson Elementary,00886019,-1.152447652
2015/2016,08,Homelinks - Creston,00886016,-1.508205929
2015/2016,08,Homelinks - Kaslo,00899292,-0.498925261
2015/2016,08,Homelinks - Nelson,00899291,-0.370403394
2015/2016,08,Homelinks - Slocan,00899293,-0.718754519
2015/2016,08,Hume Elementary School,00807004,-0.337148228
2015/2016,08,J V Humphries Elem-Secondary,00886018,-0.593704516
2015/2016,08,Jewett Elementary,00886005,-0.895187839
2015/2016,08,L V Rogers Secondary,00807013,-0.299513284
2015/2016,08,Mount Sentinel Secondary,00807025,-0.589702871
2015/2016,08,Prince Charles Secondary,00886007,-1.322285828
2015/2016,08,REACH,00899225,-0.673578199
2015/2016,08,Redfish Elementary School,00807035,-0.333300448
2015/2016,08,Rosemont Elementary School,00807018,-0.714238382
2015/2016,08,Salmo Elementary School,00807011,-1.613466193
